target	note
opp_ziplime@label=close	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-3 約定/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 資金調達/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-4 足/戦略が対象の公開の手段で読む物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物、P0-5 足/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
opp_ziplime@label=start	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-3 約定/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 資金調達/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-4 足/戦略が対象の公開の手段で読む物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物、P0-5 足/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
opp_zipline_reloaded	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-3 約定/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 資金調達/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-4 足/戦略が対象の公開の手段で読む物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物、P0-5 足/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@daily	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-3 約定/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@hour	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-3 約定/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@minute	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-3 約定/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@second	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-3 約定/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@tick	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-1 足/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 足/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-4 足/戦略が対象の公開の手段で読む物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物、P0-5 足/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@tick+daily:bar	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物、P0-5 足/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@tick+daily:trade	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-1 足/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物、P0-5 足/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@tick+hour:bar	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物、P0-5 足/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@tick+hour:trade	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-1 足/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物、P0-5 足/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@tick+minute:bar	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物、P0-5 足/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@tick+minute:trade	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-1 足/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物、P0-5 足/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@tick+second:bar	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物、P0-5 足/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
repro_lean52@tick+second:trade	場面にしたが、この対象には型が入らなかった升目: P0-1 約定/戦略の呼び出しに届く物、P0-1 板の写真/戦略の呼び出しに届く物、P0-1 板の差分/戦略の呼び出しに届く物、P0-1 足/戦略の呼び出しに届く物、P0-3 板の写真/戦略の呼び出しに届く物、P0-3 板の差分/戦略の呼び出しに届く物、P0-3 清算/戦略の呼び出しに届く物、P0-4 約定/戦略の呼び出しに届く物、P0-5 約定/戦略の呼び出しに届く物、P0-5 板の写真/戦略の呼び出しに届く物、P0-5 板の差分/戦略の呼び出しに届く物、P0-5 足/戦略の呼び出しに届く物。頼みの記録が無く入ったかを決められない升目: P0-3 時計/戦略の呼び出しに届く物、P0-3 注文の受付の通知/戦略の呼び出しに届く物、P0-3 注文の受付の通知/発注の呼び出しがその場で返す物、P0-3 注文の拒否の通知/戦略の呼び出しに届く物、P0-3 注文の拒否の通知/発注の呼び出しがその場で返す物、P0-3 注文の約定の通知/戦略の呼び出しに届く物、P0-3 注文の約定の通知/発注の呼び出しがその場で返す物、P0-6 注文の約定の通知/戦略が対象の公開の手段で読む物、P0-7 注文の約定の通知/戦略の呼び出しに届く物/約定模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/遅延模型、P0-7 注文の約定の通知/戦略の呼び出しに届く物/費用。
